city,latitude,longitude,pageurl,site_review_rating,property_name
Manali,32.1393865,77.1546599,http://www.goibibo.com/hotels/detail/Manali/hn/2242315224277940906/4295794325445028988/na/hq/,4,Baragarh Regency
Gurgaon,28.4720966,77.0725457,http://www.goibibo.com/hotels/detail/Gurgaon/hn/1466927038870613796/5361191673431822820/na/hq/,4.5,Asian Suites A- 585
Goa,15.54839798,73.75763376,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/6611126874555866446/na/hq/,2.5,Bevvan Resort
Manali,32.2236026,77.1858995,http://www.goibibo.com/hotels/detail/Manali/hn/2242315224277940906/5894044798937879118/na/hq/,5,Apple Inn Cottage
Delhi,28.6467775,77.2127353,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/7309398067370029045/na/hq/,2.8,Anmol Hotel Pvt.Ltd
Goa,15.56092347,73.74975872,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/3768679679353292888/na/hq/,3.9,Baia Do Sol (A Boutique Beach Resort)
Delhi,28.5403197,77.2613326,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/4322682276577382235/na/hq/,1,Balaji Residency
Delhi,28.65058813,77.194692,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/5862309908432478435/na/hq/,4,BB Palace-A Boutique Hotel
Jaipur,26.9047751,75.7488641,http://www.goibibo.com/hotels/detail/Jaipur/hn/4278754392716898526/2733323897862092484/na/hq/,3,Art Inn Homestay
Delhi,28.5732907,77.2219418,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/6345938336663021173/na/hq/,1,Arjun Homestay
Guwahati,26.16618281,91.77741357,http://www.goibibo.com/hotels/detail/Guwahati/hn/3518826103379012321/8397644275697850789/na/hq/,4.3,Ashirwad Homestay
NOIDA,28.5522379,77.3597194,http://www.goibibo.com/hotels/detail/NOIDA/hn/2311763083662248959/1894799850509469749/na/hq/,1,Apna Ghar- Sector 46
Delhi,28.7097476,77.1103954,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/2584506122328817632/na/hq/,1,Baba Guest House
Manali,32.2459026,77.1880853,http://www.goibibo.com/hotels/detail/Manali/hn/2242315224277940906/6092125296876225276/na/hq/,1,Baragarh Villa
Goa,15.5049283,73.7919103,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/7895665242797159088/na/hq/,4.6,Annapurna Guest House
Chennai,12.8944628,80.2273584,http://www.goibibo.com/hotels/detail/Chennai/hn/4354390963378411938/5838534518404123141/na/hq/,3.6,ARAVINDAR RESIDENCY
Chitrasani,24.26778,72.483507,http://www.goibibo.com/hotels/detail/Chitrasani/hn/8270415669473346029/858028934194279477/na/hq/,1,Balaram Palace Resort
Sawai Madhopur,26.0065687,76.6037222,http://www.goibibo.com/hotels/detail/Sawai Madhopur/hn/8314560716455433059/7084914320933501817/na/hq/,1,Bhadrawati Safari Lodge
Dalhousie,32.537371,75.9824737,http://www.goibibo.com/hotels/detail/Dalhousie/hn/3084536095241319598/6911500444483426513/na/hq/,4.2,AS Clarks inn
Alleppey,9.4980667,76.3388484,http://www.goibibo.com/hotels/detail/Alleppey/hn/31335703284729576/5652179225838307603/na/hq/,1,"Beautiful Alleppey Tours Two Bedroom, Alleppey"
Pune,18.47885819,73.82231814,http://www.goibibo.com/hotels/detail/Pune/hn/1554245012668028405/500962097627242132/na/hq/,1,Ashiyana
Nanded,19.1382514,77.3209555,http://www.goibibo.com/hotels/detail/Nanded/hn/3336688138651690805/5937809647717405578/na/hq/,3.2,ASHIRWAD LODGING
