touristPlace,city,latitude,longitude,rating,imageURL,entryFee
Semmhozi Poonga,Chennai,13.0506,80.2513,4.1,https://lh3.googleusercontent.com/p/AF1QipPHUyaIG04yTQpfhSwyLw9l3yqhDtWa6OE9e1m6=s1360-w1360-h1020,15
Government Museum,Chennai,13.0709,80.2565,4.3,https://lh3.googleusercontent.com/p/AF1QipMLR5_OWviH36lcovAjsrLjT_hq0Mti8r2z3hjX=s1360-w1360-h1020,250
Vivekananda House,Chennai,13.0494,80.2803,4.5,https://lh3.googleusercontent.com/p/AF1QipMBvxxqGQpCDu101Dy-UYuV-Mrg-eA4MwYiUM1q=s1360-w1360-h1020,10
Fort St.George Museum,Chennai,13.0806,80.2875,4.2,https://lh3.googleusercontent.com/p/AF1QipOi1vhSDnAJ3RWV6lqr61tiWBjoZvL3aHYf31OV=s1360-w1360-h1020,300
M.A. Chidambaram Stadium,Chennai,13.0644,80.2791,4.5,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/MA_Chidambaram_Stadium_in_the_Night.JPG/450px-MA_Chidambaram_Stadium_in_the_Night.JPG,0
Ramakrishna Mutt Old Temple,Chennai,13.0318,80.2676,4.8,https://trekkerpedia.com/wp-content/uploads/Front-of-Ramakrishna-math-chennai.jpg,0
Marina Beach,Chennai,13.0556,80.2836,4.3,http://t2.gstatic.com/licensed-image?q=tbn:ANd9GcQAV7Me9YRI7zswVLNdPU0Ugk4eCf8hKM9lFo0qmi8Q6xc7fuDmpgFoVEKOiOz43zNK,0
Santhome Cathedral Basilica,Chennai,13.0337,80.2775,4.7,https://lh3.googleusercontent.com/p/AF1QipNkk27_3l_g4tK9xCTAS-MqjDtzL8wxPJ8N0Lch=s1360-w1360-h1020,0
Kapaleeshwarar Temple,Chennai,13.0334,80.2699,4.8,https://www.tamilnadutourism.com/images/chennai/card/kapaleeshwarar-temple.jpg,0
Arulmigu Sri Parthasarathy Perumal Temple,Chennai,13.0538,80.2769,4.7,https://lh3.googleusercontent.com/p/AF1QipPDK64K7MSi5tPUqahN9Y8xX8yLHBYCT0GNaQJB=s1360-w1360-h1020,0
India Gate,Delhi,28.6129,77.2295,4.6,https://lh5.googleusercontent.com/p/AF1QipO07jZ1K3-pEDzYJxWR9GsgKs-ILP-kPDP5X_AH=w408-h439-k-no,0
Jama Masjid,Delhi,28.6509,77.2334,4.5,https://lh5.googleusercontent.com/p/AF1QipM6p1r7DPjFr9xXn8tKlKEPfrSUvR8w9GeDJify=w408-h272-k-no,0
Chandni Chowk Market,Delhi,28.6508,77.2304,4.2,https://images.hindustantimes.com/img/2021/09/12/550x309/89d4980c-13f6-11ec-8f84-d3748427d977_1631471245193.jpg,100
Red Fort,Delhi,28.6563,77.2411,4.5,https://lh5.googleusercontent.com/p/AF1QipNDnNhecipuWUsS7x5huSwQD0it-LU_9yVSDOzN=w408-h306-k-no,600
Rashtrapati Bhavan,Delhi,28.6145,77.1993,4.7,https://www.makemytrip.com/travel-guide/media/dg_image/delhi/Rashtrapati-Bhavan-Delhi.jpg,50
Qutub Minar,Delhi,28.5247,77.1855,4.5,https://lh5.googleusercontent.com/p/AF1QipM_dFgHqM4iyYA3f6UbKhY4WsM3xxz-oCjTWABC=w408-h544-k-no,35
Jantar Mantar,Delhi,28.6272,77.2166,4.1,https://lh5.googleusercontent.com/p/AF1QipMYZbJVmc5nM3kc6ErCUDV4cQS54cCniIxTy4MY=w427-h240-k-no,250
"City Palace, Jaipur",Jaipur,26.9258,75.8237,4,https://media.istockphoto.com/id/487804438/photo/jaipur-india-chandra-mahal-palace-within-the-city-palace.jpg?b=1&s=170667a&w=0&k=20&c=346mpJCcyiNkyP43TvrS8LZCIM4DiU526EonR1kkyy8=,200
Hawa Mahal,Jaipur,26.9239,75.8267,4,https://www.holidify.com/images/cmsuploads/compressed/h4_20170822181427.PNG,50
Amber Fort,Jaipur,26.9855,75.8513,4.5,https://image3.mouthshut.com/images/Restaurant/Photo/-69394_7837.jpg,25
Desert Safari packages/Jaisalmer,Jaipur,26.489679,74.5509,4.5,https://www.makemytrip.com/travel-guide/media/dg_image/jaisalmer/Camel-Safari.jpg,1800
Jal Mahal,Jaipur,26.9535,75.8461,5,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Jaipur_03-2016_39_Jal_Mahal_-_Water_Palace.jpg/760px-Mapcarta.jpg,10
Albert Hall Museum,Jaipur,26.9193,75.8256,4.5,https://jaipurtourism.co.in/images/places-to-visit/header/albert-hall-museum-jaipur-entry-fee-timings-holidays-reviews-header.jpg,40
Jantar Mantar,Jaipur,26.9248,75.8246,4.4,https://static.toiimg.com/thumb/91352918/Jantar-Mantar-Jaipur.jpg?width=1200&height=900,50
Chand Baori,Jaipur,27.0072,76.6068,4.8,"https://images.thrillophilia.com/image/upload/s--JxikeLCr--/c_fill,h_600,q_auto,w_975/f_auto,fl_strip_profile/v1/images/photos/000/169/542/original/1566623333_shutterstock_1041282199.jpg.jpg?1566623333",25
