touristPlace,city,latitude,longitude,rating,imageURL,entryFee
"City Palace, Jaipur",Jaipur,26.9258,75.8237,4,https://lh3.googleusercontent.com/gps-proxy/ALm4wwnjaRwNEBoQZNz1hr2BOXKS2PY4CNh-b2Ule_HmDBssoL4rUhFFwSpe6Mn7iKTK6kSLHp64EYWz7qn0-2cFGv2I-Klel4hVMmVEdk4eaTz92dNOXUgH73cpemMsExKODNWjID9wRlg6QCgQLj8naeb1nyIWCr7UQj6AvO63jGkmFcICuy7w-vQk_g=w408-h272-k-no,200
Hawa Mahal,Jaipur,26.9239,75.8267,4,https://www.holidify.com/images/cmsuploads/compressed/h4_20170822181427.PNG,50
Amber Fort,Jaipur,26.9855,75.8513,4.5,https://image3.mouthshut.com/images/Restaurant/Photo/-69394_7837.jpg,25
Desert Safari packages/Jaisalmer,Jaipur,26.489679,74.5509,4.5,https://www.makemytrip.com/travel-guide/media/dg_image/jaisalmer/Camel-Safari.jpg,1800
Jal Mahal,Jaipur,26.9535,75.8461,5,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Jaipur_03-2016_39_Jal_Mahal_-_Water_Palace.jpg/760px-Mapcarta.jpg,10
Albert Hall Museum,Jaipur,26.9193,75.8256,4.5,https://jaipurtourism.co.in/images/places-to-visit/header/albert-hall-museum-jaipur-entry-fee-timings-holidays-reviews-header.jpg,40
Jantar Mantar,Jaipur,26.9248,75.8246,4.4,https://static.toiimg.com/thumb/91352918/Jantar-Mantar-Jaipur.jpg?width=1200&height=900,50
Chand Baori,Jaipur,27.0072,76.6068,4.8,"https://images.thrillophilia.com/image/upload/s--JxikeLCr--/c_fill,h_600,q_auto,w_975/f_auto,fl_strip_profile/v1/images/photos/000/169/542/original/1566623333_shutterstock_1041282199.jpg.jpg?1566623333",25
Sheesh Mahal,Jaipur,26.98588,75.85059,4.5,https://jaipurtourism.co.in/images//tourist-places/sheesh-mahal-jaipur/sheesh-mahal-jaipur-tourism-opening-time-closing.jpg,10
Royal Gaitor Tumbas,Jaipur,26.9297,75.8292,4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/c1/4f/ca/do-cemiterio-podemos.jpg?w=1200&h=-1&s=1,30
Santa Cruz Cathedral Basilica Fort Kochi,Kochi,9.9649,76.2428,4.5,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Kathedralbasilika_Santa_Cruz_2018-04-04a.jpg/800px-Kathedralbasilika_Santa_Cruz_2018-04-04a.jpg,0
Hill Palace Museum,Kochi,9.9526,76.3619,4.3,https://www.keralatourism.org/images/destination/large/hill_palace_museum_thripunithura20131031104553_182_1.jpg,20
Ernakulam Shiva Temple,Kochi,9.9685,76.2822,4.8,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Ernakulam_Murugan_Temple.jpg/760px-Mapcarta.jpg,0
